SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene1278	0.496966860098726	NA	0.861	0.618	1.202	0.17	0	0.232276562486506	0.629840905652183	1.815	1.301	2.531	0.17	1.478608	26.5388149542718	2.58295853705626e-07	0.275593972543799	10	10	38	22	ER.A	-1	15	0.005102	23	0.007516	22	0.679	0.333780074603087	0.798	0.505	1.261	-0.226	0.233	NA	0.848877540205388	10	10	31	19	ER.A	-1	14	0.007216	17	0.008252	19	0.874	0.802172128859537	0.94	0.578	1.527	-0.062	0.248	NA	1	1916000	1917000	non_coding	-	info1278	info1278
Gene954	0.497232419411831	NA	1.229	0.804	1.878	0.216	0	0.040739403241096	0.840041775405055	2.5	1.636	3.82	0.216	2.420485	22.8524353360719	1.74927541995995e-06	0.520755677284921	10	7	26	12	ER.A	-1	16	0.005442	10	0.003268	12	1.665	0.363237874569083	1.265	0.762	2.1	0.235	0.259	NA	0.851307250387577	10	7	19	14	ER	5.5951783659666e-06	10	0.005155	9	0.004369	14	1.18	0.721464958632873	1.15	0.533	2.485	0.14	0.393	NA	1	1430000	1431000	non_coding	-	info954	info954
Gene32	0.497328576783167	NA	1.006	0.662	1.528	0.213	0	0.151548982835521	0.697059468074543	2.374	1.563	3.605	0.213	1.1763175	13.9387226460026	0.00018886729312817	0.811642516758285	10	6	29	19	ER.A	-1	15	0.005102	14	0.004575	19	1.115	0.770558279040453	1.091	0.609	1.955	0.087	0.298	NA	0.149532544178222	10	9	18	11	ER	9.76587239813373e-05	8	0.004124	10	0.004854	11	0.85	0.794435900644556	0.924	0.508	1.679	-0.079	0.305	NA	1	47000	48000	non_coding	-	info32	info32
Gene172	0.498687685044473	NA	0.736	0.291	1.861	0.473	0.3097915	3.14666384871772	0.0760823676477103	1.496	0.918	2.439	0.249	0.278887	2.93251474226161	0.0868121724636421	0.861904673313444	10	9	38	32	ER.A	-1	20	0.006803	18	0.005882	32	1.157	0.704315707532415	1.121	0.622	2.02	0.114	0.301	NA	0.0900202946443498	10	8	21	15	ER.A	-1	5	0.002577	16	0.007767	15	0.332	0.0595397225864737	0.432	0.181	1.034	-0.839	0.445	NA	1	257000	258000	non_coding	-	info172	info172
Gene114	0.49897979453336	NA	1.058	0.602	1.857	0.287	0.0724499999999999	1.62102217936355	0.202949318151056	1.961	1.333	2.886	0.197	7.336998	63.8908003857281	1.33226762955019e-15	0.630636642006768	10	10	38	21	ER.A	-1	16	0.005442	22	0.00719	21	0.757	0.522222537058961	0.868	0.562	1.34	-0.142	0.222	NA	0.347095230468769	10	6	20	16	ER	2.8902511594436e-06	13	0.006701	7	0.003398	16	1.972	0.270179958553703	1.605	0.692	3.719	0.473	0.429	NA	1	170000	171000	non_coding	-	info114	info114
Gene1315	0.499468057154968	NA	1.115	0.781	1.592	0.182	0	0.527019075355475	0.467862805245992	2.314	1.622	3.303	0.182	0.9439135	15.0612928934804	0.000104075696633732	0.391395060300016	10	9	22	8	ER.A	-1	15	0.005102	7	0.002288	8	2.23	0.354240933896436	1.251	0.779	2.008	0.224	0.241	NA	0.262318453912187	10	8	23	11	ER.A	-1	10	0.005155	13	0.006311	11	0.817	0.878902831754245	0.959	0.558	1.646	-0.042	0.276	NA	1	1971500	1972500	protein_coding	+	info1315	info1315
Gene1319	0.500086218358598	NA	1.285	0.669	2.468	0.333	0.1065955	1.88429806914574	0.169846447202128	3.788	2.389	6.005	0.235	0.4583455	4.8023560155132	0.0284208456764605	0.178639923877486	10	7	22	15	ER.A	-1	16	0.005442	6	0.001961	15	2.775	0.104584918858051	1.894	0.876	4.096	0.639	0.394	NA	0.550263796796734	10	10	25	17	ER.A	-1	11	0.00567	14	0.006796	17	0.834	0.904222321619506	0.965	0.544	1.715	-0.035	0.293	NA	1	1977500	1978500	protein_coding	+	info1319	info1319
Gene1104	0.500571928286156	NA	0.818	0.543	1.232	0.209	0	0.00144366286141197	0.969691219124813	1.278	0.849	1.925	0.209	2.5064635	19.0924413421734	1.24537141596992e-05	0.563507968052596	10	10	46	31	MA	-1	19	0.006463	27	0.008824	31	0.732	0.379823998668908	0.815	0.516	1.287	-0.205	0.233	NA	0.711136662800112	10	9	19	18	ER	3.92472240113035e-07	9	0.004639	10	0.004854	18	0.956	0.695558676719229	0.831	0.33	2.095	-0.185	0.472	NA	1	1655000	1656000	non_coding	-	info1104	info1104
Gene464	0.501246028284472	NA	1.109	0.353	3.484	0.584	0.520277	4.16907774116329	0.0411682031079839	2.892	1.669	5.01	0.28	0	0.996461050233595	0.31816834802935	0.134945655315393	10	5	18	11	ER	0.00014122918172449	14	0.004762	4	0.001307	11	3.643	0.10729448237826	2.048	0.856	4.9	0.717	0.445	NA	0.250343244261412	10	8	22	13	ER.A	-1	6	0.003093	16	0.007767	13	0.398	0.209416819673759	0.636	0.314	1.289	-0.453	0.361	NA	1	695000	696000	non_coding	-	info464	info464
Gene1086	0.501345665674356	NA	0.814	0.467	1.419	0.283	0.00345999999999995	1.02199835330245	0.312045462688043	2.484	1.434	4.302	0.28	4.0419175	26.698129822074	2.37851616957663e-07	0.183471792722086	10	10	22	17	ER.A	-1	7	0.002381	15	0.004902	17	0.486	0.218150996707701	0.62	0.29	1.326	-0.477	0.388	NA	0.92703271602984	10	8	18	14	ER	1.14396721599091e-05	10	0.005155	8	0.003883	14	1.328	0.823494078657337	1.095	0.495	2.421	0.09	0.405	NA	1	1628000	1629000	non_coding	-	info1086	info1086
Gene801	0.501677633444276	NA	0.965	0.59	1.577	0.251	0	0.143971880492091	0.704363923551748	2.496	1.527	4.08	0.251	2.7208595	22.252563952353	2.39039382587958e-06	0.516760865082421	10	8	21	15	ER.A	-1	9	0.003061	12	0.003922	15	0.78	0.720195230724003	0.888	0.462	1.705	-0.119	0.333	NA	0.49076660769103	10	10	17	13	ER	2.43251417440397e-05	9	0.004639	8	0.003883	13	1.195	0.848355411367038	1.075	0.51	2.268	0.073	0.381	NA	1	1200500	1201500	protein_coding	+	info801	info801
Gene399	0.502574883740276	NA	1.055	0.673	1.655	0.23	0	0.367211525079798	0.544528163077643	3.451	2.2	5.414	0.23	2.3395235	22.0059169738136	2.71811222829488e-06	0.238095563116841	10	9	26	23	ER.A	-1	12	0.004082	14	0.004575	23	0.892	0.740609651914415	0.885	0.428	1.827	-0.122	0.37	NA	0.758654852416347	10	6	18	9	ER	0.000629467528929492	11	0.00567	7	0.003398	9	1.669	0.574664473756881	1.179	0.664	2.092	0.164	0.293	NA	1	597500	598500	protein_coding	+	info399	info399
Gene1125	0.502951128175254	NA	0.975	0.714	1.33	0.159	0	0.513142764741816	0.473781533001409	2.602	1.907	3.55	0.159	1.454664	27.1357576628697	1.89657276106203e-07	0.674963594126362	10	7	35	24	ER.A	-1	15	0.005102	20	0.006536	24	0.781	0.500070689023947	0.833	0.49	1.416	-0.182	0.27	NA	0.37940908406697	10	10	28	10	ER.A	-1	14	0.007216	14	0.006796	10	1.062	0.770321638789737	1.059	0.721	1.556	0.057	0.196	NA	1	1686500	1687500	protein_coding	+	info1125	info1125
Gene793	0.503165334853545	NA	1.248	0.779	1.999	0.24	0	0.0721447883554947	0.788239190847504	3.243	2.025	5.195	0.24	3.886636	31.770977408488	1.73465536379425e-08	0.772513966391062	10	10	35	30	ER.A	-1	19	0.006463	16	0.005229	30	1.236	0.560455441494609	1.19	0.662	2.138	0.174	0.299	NA	0.425690073774579	10	10	13	7	ER	0.00163394459929575	9	0.004639	4	0.001942	7	2.389	0.443638785449284	1.363	0.617	3.007	0.309	0.404	NA	1	1188500	1189500	protein_coding	+	info793	info793
Gene44	0.506007842919434	NA	0.784	0.483	1.273	0.247	0	0.0987222812592858	0.753368367688308	1.357	0.835	2.204	0.247	4.538485	23.8573407132461	1.0374549812564e-06	0.428410596922895	10	10	43	33	MA	-1	17	0.005782	26	0.008497	33	0.68	0.307370051186605	0.755	0.441	1.295	-0.281	0.275	NA	0.182913549106934	10	5	10	8	ER	0.00121780959347351	5	0.002577	5	0.002427	8	1.062	0.883964923905128	0.921	0.303	2.797	-0.083	0.567	NA	1	65000	66000	non_coding	-	info44	info44
Gene871	0.506118102196302	NA	0.817	0.516	1.293	0.234	0	0.578708086082357	0.44681915592365	2.799	1.768	4.43	0.234	1.95183	14.2443738740114	0.000160540009513821	0.157079307663755	10	8	21	21	ER.A	-1	8	0.002721	13	0.004248	21	0.641	0.275955758502547	0.598	0.238	1.507	-0.513	0.471	NA	0.812221221004912	10	7	16	7	ER	0.00372808074518282	7	0.003608	9	0.004369	7	0.826	0.71140689828838	0.905	0.533	1.536	-0.1	0.27	NA	1	1305500	1306500	protein_coding	+	info871	info871
Gene720	0.507978889703202	NA	0.786	0.416	1.484	0.324	0.0365905	1.2102781449342	0.271277042997664	2.504	1.406	4.46	0.295	4.6340905	27.6311734957761	1.46793841526716e-07	0.218789002374954	10	6	21	15	ER.A	-1	6	0.002041	15	0.004902	15	0.416	0.174734210209097	0.576	0.26	1.277	-0.551	0.406	NA	0.959451113686773	10	7	16	12	ER	3.38891911602238e-05	8	0.004124	8	0.003883	12	1.062	0.819155065000114	1.103	0.477	2.55	0.098	0.428	NA	1	1079000	1080000	non_coding	-	info720	info720
Gene206	0.508497759455168	NA	1.196	0.813	1.758	0.197	0	0.84842229076899	0.35699904750235	2.936	1.997	4.317	0.197	3.921133	48.0628203127813	4.12780920555633e-12	0.596173409466624	10	10	42	28	MA	-1	21	0.007143	21	0.006863	28	1.041	0.866790854225102	1.042	0.642	1.691	0.041	0.247	NA	0.352472718619227	10	9	28	18	ER.A	-1	19	0.009794	9	0.004369	18	2.242	0.200157845974449	1.517	0.802	2.871	0.417	0.325	NA	1	308000	309000	non_coding	-	info206	info206
Gene414	0.511137617451933	NA	0.844	0.593	1.201	0.18	0	0.444924957337262	0.504754916612991	1.558	1.095	2.217	0.18	0.850807	13.4094893598401	0.000250354558026245	0.534121798541254	10	9	38	20	ER.A	-1	17	0.005782	21	0.006863	20	0.842	0.745305872990341	0.928	0.592	1.455	-0.075	0.229	NA	0.47235373449525	10	10	27	16	ER.A	-1	9	0.004639	18	0.008738	16	0.531	0.267743965704218	0.725	0.41	1.281	-0.322	0.291	NA	1	620000	621000	non_coding	-	info414	info414
Gene991	0.5114134026445	NA	1.216	0.802	1.842	0.212	0	0.433722184815323	0.510168158174073	2.616	1.727	3.962	0.212	6.093069	50.4290454209899	1.23556720410534e-12	0.84694642097097	10	10	33	21	ER.A	-1	18	0.006122	15	0.004902	21	1.249	0.631672178774129	1.124	0.697	1.811	0.117	0.243	NA	0.343022664051969	10	8	18	13	ER	3.14741110424879e-05	12	0.006186	6	0.002913	13	2.124	0.305393189375912	1.559	0.667	3.643	0.444	0.433	NA	1	1485500	1486500	protein_coding	+	info991	info991
Gene1000	0.512242187064305	NA	0.835	0.484	1.443	0.279	0	0.32440582087482	0.568971860632984	2.117	1.226	3.658	0.279	3.7625875	23.691204761876	1.13098227350061e-06	0.568392411623319	10	7	29	25	ER.A	-1	12	0.004082	17	0.005556	25	0.735	0.390405030840325	0.738	0.37	1.475	-0.303	0.353	NA	0.465077879356055	10	6	11	7	ER	0.00145056490474835	5	0.002577	6	0.002913	7	0.885	0.955760977260221	1.026	0.421	2.5	0.025	0.455	NA	1	1499000	1500000	non_coding	-	info1000	info1000
Gene525	0.512542394864396	NA	0.867	0.481	1.562	0.301	0	0.403297358502951	0.525391258106294	2.169	1.203	3.91	0.301	1.1966475	7.54574619966851	0.00601519068091194	0.400608568974015	10	6	20	17	ER	1.20201771726866e-06	10	0.003401	10	0.003268	17	1.041	0.94250652692963	1.03	0.465	2.278	0.029	0.405	NA	0.648213793792658	10	6	15	11	ER	0.000137583914224243	6	0.003093	9	0.004369	11	0.708	0.428714970730016	0.701	0.291	1.69	-0.355	0.449	NA	1	786500	787500	protein_coding	+	info525	info525
Gene1053	0.51286838933115	NA	0.863	0.616	1.208	0.172	0	0.187834828146632	0.664724813813624	2.251	1.608	3.151	0.172	0.7489125	12.2699768253777	0.00046030398713337	0.926543289498363	10	6	27	16	ER.A	-1	13	0.004422	14	0.004575	16	0.967	0.88849919779152	0.959	0.535	1.72	-0.042	0.298	NA	0.416164656541746	10	10	31	11	ER.A	-1	9	0.004639	22	0.01068	11	0.434	0.3404350865038	0.819	0.542	1.235	-0.2	0.21	NA	1	1578500	1579500	protein_coding	+	info1053	info1053
Gene454	0.513176034168777	NA	0.731	0.367	1.456	0.352	0	0.732790326306381	0.391980227674901	1.916	0.962	3.816	0.352	0.86859	4.48939931103054	0.034105659540717	0.821699225786385	10	4	19	19	ER	2.35015009278054e-07	9	0.003061	10	0.003268	19	0.937	0.939430851986669	0.964	0.378	2.461	-0.036	0.478	NA	0.313727104912791	10	8	17	15	ER	1.91220937704851e-06	5	0.002577	12	0.005825	15	0.442	0.217971332108457	0.527	0.191	1.459	-0.64	0.519	NA	1	680000	681000	non_coding	-	info454	info454
Gene576	0.513855829157158	NA	1.212	0.67	2.191	0.302	0.06778	1.55863021037232	0.211865896554474	2.541	1.602	4.032	0.236	0.840552	7.92767395380463	0.00486843428574735	0.218230424575034	10	10	40	31	ER.A	-1	25	0.008503	15	0.004902	31	1.735	0.131222134238422	1.556	0.876	2.763	0.442	0.293	NA	0.768431191154959	10	5	15	10	ER	0.000135029628879588	6	0.003093	9	0.004369	10	0.708	0.662776645265069	0.841	0.387	1.829	-0.173	0.396	NA	1	863000	864000	non_coding	-	info576	info576
Gene1047	0.514372585205471	NA	1.204	0.802	1.809	0.207	0	0.531489927019053	0.465981135975803	2.771	1.845	4.161	0.207	1.1050275	13.7101580966293	0.000213297676303292	0.34344241520331	10	10	30	17	ER.A	-1	20	0.006803	10	0.003268	17	2.082	0.250012436403999	1.381	0.797	2.392	0.323	0.28	NA	0.924738905463282	10	8	25	17	ER.A	-1	12	0.006186	13	0.006311	17	0.98	0.950834631690981	1.019	0.556	1.867	0.019	0.309	NA	1	1569500	1570500	protein_coding	+	info1047	info1047
Gene921	0.514396771266077	NA	0.95	0.602	1.498	0.232	0	0.278351414449302	0.597783799426433	1.783	1.13	2.812	0.232	1.424416	12.2919390064569	0.000454918861181874	0.908843321977193	10	7	21	10	ER.A	-1	11	0.003741	10	0.003268	10	1.145	0.910843368441258	1.032	0.596	1.788	0.031	0.28	NA	0.146848845729613	10	9	21	18	ER.A	-1	9	0.004639	12	0.005825	18	0.796	0.575028369754504	0.792	0.35	1.792	-0.234	0.417	NA	1	1380500	1381500	protein_coding	+	info921	info921
Gene274	0.516761677361481	NA	1.242	0.777	1.987	0.24	0	0.954266958424508	0.32863555275659	1.938	1.212	3.1	0.24	1.780667	9.75601504683697	0.00178736926029754	0.288187051795822	10	9	35	22	ER.A	-1	22	0.007483	13	0.004248	22	1.762	0.218320220477075	1.382	0.826	2.312	0.323	0.263	NA	0.88124863063088	10	6	11	10	ER	0.000190375362877566	5	0.002577	6	0.002913	10	0.885	0.605751510769472	0.741	0.237	2.315	-0.3	0.581	NA	1	410000	411000	non_coding	-	info274	info274
Gene736	0.517520543124511	NA	0.868	0.499	1.51	0.283	0	0.0337550288104146	0.854228868519747	2.706	1.555	4.708	0.283	2.012389	13.3225847932447	0.000262228450486179	0.884805398268996	10	7	24	24	ER.A	-1	11	0.003741	13	0.004248	24	0.881	0.64119394480811	0.817	0.35	1.91	-0.202	0.433	NA	0.237654505135234	10	7	16	10	ER	0.000165723322319466	8	0.004124	8	0.003883	10	1.062	0.794636974570043	0.908	0.437	1.884	-0.097	0.373	NA	1	1103000	1104000	non_coding	-	info736	info736
Gene856	0.517540146066899	NA	1.279	0.735	2.226	0.283	0	0.00205631129389434	0.963831069127921	4.004	2.301	6.967	0.283	3.518526	22.4058720463339	2.20698222719307e-06	0.644865217055672	10	10	19	15	ER	5.92387184942148e-06	11	0.003741	8	0.002614	15	1.431	0.487085561436187	1.293	0.626	2.671	0.257	0.37	NA	0.755981361180423	10	9	12	7	ER	0.0019448938770914	7	0.003608	5	0.002427	7	1.487	0.597739297910936	1.26	0.534	2.971	0.231	0.438	NA	1	1283000	1284000	non_coding	-	info856	info856
Gene853	0.518066047492645	NA	1.136	0.742	1.739	0.217	0.0297055	1.42587004050034	0.232439634365596	2.07	1.464	2.927	0.177	0.732892	11.5070355901222	0.000693332609941311	0.206105868959896	10	9	41	24	MA	-1	27	0.009184	14	0.004575	24	2.007	0.167145475805969	1.35	0.882	2.068	0.3	0.217	NA	0.814532515436042	10	10	30	23	ER.A	-1	14	0.007216	16	0.007767	23	0.929	0.630756030346754	0.864	0.477	1.567	-0.146	0.304	NA	1	1278500	1279500	protein_coding	+	info853	info853
Gene933	0.518152387744373	NA	1.186	0.833	1.688	0.18	0	0.712081186409646	0.398753773053673	3.522	2.474	5.012	0.18	0.687382	9.98938090131561	0.0015744552934448	0.343020479062058	10	9	26	17	ER.A	-1	17	0.005782	9	0.002941	17	1.966	0.220442335984835	1.492	0.787	2.829	0.4	0.326	NA	0.698551081493623	10	10	35	19	ER.A	-1	19	0.009794	16	0.007767	19	1.261	0.747068958754754	1.072	0.703	1.636	0.07	0.216	NA	1	1398500	1399500	protein_coding	+	info933	info933
Gene238	0.519535854712435	NA	1.081	0.473	2.47	0.421	0.245918	3.05626512924926	0.0804263376815857	2.21	1.463	3.337	0.21	9.4463435	79.9864375033969	0	0.414272262810752	10	10	40	23	ER.A	-1	15	0.005102	25	0.00817	23	0.624	0.249208349368684	0.757	0.471	1.216	-0.278	0.242	NA	0.153790173296806	10	10	21	9	ER.A	-1	18	0.009278	3	0.001456	9	6.372	0.174590277592613	1.781	0.774	4.096	0.577	0.425	NA	1	356000	357000	non_coding	-	info238	info238
Gene562	0.521962206089818	NA	0.908	0.569	1.449	0.238	0	0.971300998349186	0.324355927886434	1.913	1.199	3.051	0.238	34.160183	108.413514660797	0	0.493808031916646	10	10	27	12	ER.A	-1	10	0.003401	17	0.005556	12	0.612	0.487993517433371	0.84	0.514	1.374	-0.174	0.251	NA	0.544328229177671	10	3	8	8	ER	0.00122268667535389	5	0.002577	3	0.001456	8	1.77	0.418763476338217	1.844	0.418	8.13	0.612	0.757	NA	1	842000	843000	non_coding	-	info562	info562
Gene504	0.52571498270983	NA	0.8	0.488	1.314	0.253	0	0.31453908730004	0.574908085454284	2.066	1.258	3.391	0.253	2.4188115	19.8655713539189	8.30832025755512e-06	0.456956758253637	10	10	27	22	ER.A	-1	10	0.003401	17	0.005556	22	0.612	0.305858496022558	0.698	0.351	1.388	-0.359	0.351	NA	0.858231744401378	10	10	22	16	ER.A	-1	11	0.00567	11	0.00534	16	1.062	0.837256744520843	0.928	0.454	1.898	-0.075	0.365	NA	1	755000	756000	non_coding	-	info504	info504
Gene753	0.525817459749296	NA	1.048	0.775	1.418	0.154	0	0.0649680780556558	0.798809323767647	1.702	1.258	2.303	0.154	1.346566	23.593957901625	1.18960466521933e-06	0.80160341928617	10	8	39	15	ER.A	-1	22	0.007483	17	0.005556	15	1.347	0.694681757397649	1.074	0.753	1.531	0.071	0.181	NA	0.166069957175222	10	9	26	17	ER.A	-1	12	0.006186	14	0.006796	17	0.91	0.954561016478063	0.983	0.553	1.748	-0.017	0.294	NA	1	1128500	1129500	protein_coding	+	info753	info753
Gene847	0.527731988032013	NA	0.868	0.631	1.195	0.163	0	0.265699571041574	0.606231235197836	1.141	0.829	1.57	0.163	1.4774475	13.9736653773034	0.000185389203319453	0.713709679615023	10	10	42	17	MA	-1	18	0.006122	24	0.007843	17	0.781	0.538723947981423	0.898	0.637	1.266	-0.108	0.175	NA	0.601114789754903	10	5	13	8	ER	0.000845133559327683	4	0.002062	9	0.004369	8	0.472	0.424970617201524	0.702	0.294	1.676	-0.354	0.444	NA	1	1269500	1270500	protein_coding	+	info847	info847
Gene521	0.530104165078069	NA	0.969	0.572	1.641	0.269	0.073247	1.6423766717825	0.199999690972316	1.317	0.985	1.761	0.148	0.8148595	8.14632317474238	0.00431485592686109	0.486497179283994	10	10	53	21	MA	-1	31	0.010544	22	0.00719	21	1.466	0.415677986076334	1.136	0.835	1.546	0.128	0.157	NA	0.274057163048743	10	10	17	9	ER	0.000438770350442748	4	0.002062	13	0.006311	9	0.327	0.282977778749416	0.616	0.255	1.491	-0.484	0.451	NA	1	780500	781500	protein_coding	+	info521	info521
Gene458	0.530406702943518	NA	0.827	0.548	1.247	0.21	0	0.137378041942357	0.710901632929252	2.551	1.69	3.85	0.21	1.3711795	13.3017113378939	0.000265163979791927	0.632674664216228	10	6	18	13	ER	4.06884308507556e-05	7	0.002381	11	0.003595	13	0.662	0.430784456272702	0.728	0.33	1.604	-0.318	0.403	NA	0.590495748288476	10	10	28	16	ER.A	-1	10	0.005155	18	0.008738	16	0.59	0.561502526727563	0.867	0.535	1.404	-0.143	0.246	NA	1	686000	687000	non_coding	-	info458	info458
Gene938	0.53057242054581	NA	0.895	0.546	1.465	0.252	0.048548	1.59195854290504	0.207046535732294	1.848	1.263	2.706	0.194	3.300588	41.2449382716049	1.34299127374504e-10	0.261482673106162	10	10	39	21	ER.A	-1	13	0.004422	26	0.008497	21	0.52	0.184854811561658	0.724	0.45	1.167	-0.322	0.243	NA	0.138605958374069	10	10	28	22	ER.A	-1	15	0.007732	13	0.006311	22	1.225	0.558340798289672	1.209	0.641	2.279	0.189	0.324	NA	1	1406000	1407000	non_coding	-	info938	info938
Gene230	0.530757651564467	NA	0.957	0.648	1.412	0.199	0	0.0642003633653219	0.799976199002238	1.916	1.298	2.829	0.199	2.0051485	24.3526099413025	8.02179863979013e-07	0.397919901120222	10	9	36	22	ER.A	-1	16	0.005442	20	0.006536	22	0.833	0.740185235748787	0.921	0.567	1.497	-0.082	0.248	NA	0.846104577001467	10	10	20	11	ER	5.22388523553868e-05	9	0.004639	11	0.00534	11	0.869	0.943990612172581	1.024	0.534	1.963	0.023	0.332	NA	1	344000	345000	non_coding	-	info230	info230
Gene1228	0.53077609396799	NA	0.924	0.618	1.381	0.205	0.0071545	1.09157173940868	0.296123224468738	2.469	1.681	3.627	0.196	2.2611545	29.9409253807756	4.45411579841348e-08	0.434889309459906	10	9	32	23	ER.A	-1	12	0.004082	20	0.006536	23	0.625	0.297810035758979	0.734	0.411	1.313	-0.309	0.296	NA	0.44031170790062	10	10	31	17	ER.A	-1	16	0.008247	15	0.007282	17	1.133	0.692017625126736	1.109	0.664	1.854	0.104	0.262	NA	1	1841000	1842000	non_coding	-	info1228	info1228
Gene1241	0.531438328208267	NA	0.924	0.637	1.34	0.19	0	0.00069614613499666	0.978950592139939	2.096	1.446	3.039	0.19	1.253368	18.4505457785698	1.74370886802944e-05	0.557120482239034	10	7	29	17	ER.A	-1	13	0.004422	16	0.005229	17	0.846	0.782573187068747	0.929	0.549	1.571	-0.074	0.268	NA	0.505669586628535	10	10	28	16	ER.A	-1	13	0.006701	15	0.007282	16	0.92	0.75428027410353	0.92	0.544	1.554	-0.084	0.268	NA	1	1860500	1861500	protein_coding	+	info1241	info1241
Gene1057	0.531440079490823	NA	0.858	0.614	1.201	0.171	0	0.254409478593336	0.613987200018302	2.017	1.442	2.821	0.171	1.387198	24.3132725515735	8.18729744223035e-07	0.458622796471302	10	9	34	23	ER.A	-1	13	0.004422	21	0.006863	23	0.644	0.332351451476028	0.779	0.47	1.291	-0.25	0.258	NA	0.805098165731411	10	10	21	11	ER.A	-1	10	0.005155	11	0.00534	11	0.965	0.740930460148133	0.927	0.592	1.451	-0.076	0.229	NA	1	1584500	1585500	protein_coding	+	info1057	info1057
Gene1167	0.533056373914231	NA	0.859	0.576	1.281	0.204	0	0.34419770773639	0.557416189141219	2.759	1.851	4.113	0.204	1.539486	14.6146131805158	0.000131887865300495	0.278987002167577	10	7	27	27	ER.A	-1	11	0.003741	16	0.005229	27	0.715	0.380129673946413	0.695	0.309	1.565	-0.363	0.414	NA	0.754310314333525	10	10	23	10	ER.A	-1	10	0.005155	13	0.006311	10	0.817	0.718692713455749	0.919	0.58	1.455	-0.084	0.234	NA	1	1749500	1750500	protein_coding	+	info1167	info1167
Gene291	0.533353626921719	NA	1.23	0.499	3.034	0.46	0.168588	1.65975169498987	0.197636852834549	3.956	1.963	7.971	0.357	0.762632	3.9844814260417	0.0459212340450584	0.291905305971505	10	6	14	8	ER	0.00176434283940874	11	0.003741	3	0.00098	8	3.817	0.186341730293225	1.946	0.725	5.227	0.666	0.504	NA	0.691274848671892	10	6	14	12	ER	8.24990073513682e-05	6	0.003093	8	0.003883	12	0.797	0.615017564243013	0.775	0.287	2.093	-0.255	0.507	NA	1	435500	436500	protein_coding	+	info291	info291
Gene1024	0.533564344116989	NA	1.111	0.568	2.175	0.343	0.104912	1.77590459461958	0.182653023835564	2.394	1.464	3.915	0.251	0.6814295	6.03969307571415	0.0139877158351762	0.199020645186648	10	10	27	19	ER.A	-1	18	0.006122	9	0.002941	19	2.082	0.205115141926017	1.493	0.803	2.776	0.401	0.316	NA	0.673832158790332	10	9	20	16	ER	2.11713939309701e-06	8	0.004124	12	0.005825	16	0.708	0.480204272516833	0.747	0.332	1.679	-0.292	0.413	NA	1	1535000	1536000	non_coding	-	info1024	info1024
Gene695	0.533736328049557	NA	1.289	0.739	2.25	0.284	0	0.152924437336845	0.695756181123324	2.876	1.648	5.019	0.284	3.9836995	19.7375626161191	8.88379523600324e-06	0.508520135080341	10	10	24	17	ER.A	-1	15	0.005102	9	0.002941	17	1.735	0.332037163634423	1.376	0.722	2.62	0.319	0.329	NA	0.958684858537567	10	5	14	14	ER	9.82525860043984e-06	7	0.003608	7	0.003398	14	1.062	0.909801290951972	1.066	0.353	3.216	0.064	0.563	NA	1	1041500	1042500	protein_coding	+	info695	info695
Gene1013	0.533842996682188	NA	1.347	0.456	3.977	0.552	0.373641	2.11731741669632	0.145641445390822	4.093	2.496	6.712	0.252	96.7577035	290.339412216776	0	0.564963684809466	10	9	24	14	ER.A	-1	10	0.003401	14	0.004575	14	0.743	0.775413287584921	0.927	0.549	1.565	-0.076	0.267	NA	0.0676298890681955	10	10	14	9	ER	0.000776157165073339	12	0.006186	2	0.000971	9	6.371	0.149267475976123	3.048	0.67	13.859	1.114	0.773	NA	1	1518500	1519500	protein_coding	+	info1013	info1013
